id,answers,hmsk_template_id,company_id,project_id,created_by,updated_by,created_at,updated_at,task_id,image_ids
968,"[{""answer_type"":""yes_no_na"",""answer_value"":""2"",""comments"":""Otroligt dammigt samt grisigt på golv"",""images"":[336],""template_question"":""Was the workspace clean/tidy?"",""updated_by"":1067,""date_time"":""2022-06-16T09:17:48.690Z"",""updated_by_name"":""Robin Westin""},{""answer_type"":""yes_no_na"",""answer_value"":""0"",""comments"":null,""images"":[],""template_question"":""Fire safety ok?"",""updated_by"":1067,""date_time"":""2022-06-16T09:17:52.518Z"",""updated_by_name"":""Robin Westin""},{""answer_type"":""yes_no_na"",""answer_value"":""0"",""comments"":null,""images"":[],""template_question"":""Emergency exits marked and free?"",""updated_by"":1067,""date_time"":""2022-06-16T09:17:55.024Z"",""updated_by_name"":""Robin Westin""},{""answer_type"":""yes_no_na"",""answer_value"":""0"",""comments"":null,""images"":[],""template_question"":""Safety equipment and clothing ok?"",""updated_by"":1067,""date_time"":""2022-06-16T09:17:56.244Z"",""updated_by_name"":""Robin Westin""},{""answer_type"":""yes_no_na"",""answer_value"":""0"",""comments"":null,""images"":[],""template_question"":""Working enviornment ok?"",""updated_by"":1067,""date_time"":""2022-06-16T09:17:57.938Z"",""updated_by_name"":""Robin Westin""},{""answer_type"":""yes_no_na"",""answer_value"":""0"",""comments"":null,""images"":[],""template_question"":""Checmicals \u0026 Gas handled ok?"",""updated_by"":1067,""date_time"":""2022-06-16T09:17:58.753Z"",""updated_by_name"":""Robin Westin""},{""answer_type"":""yes_no_na"",""answer_value"":""0"",""comments"":null,""images"":[],""template_question"":""Lifting equipment approved and operated by qualified personnel?"",""updated_by"":1067,""date_time"":""2022-06-16T09:18:00.177Z"",""updated_by_name"":""Robin Westin""},{""answer_type"":""yes_no_na"",""answer_value"":""0"",""comments"":null,""images"":[],""template_question"":""Risk assessment / Safety Job Analysis ok? (SJA)"",""updated_by"":1067,""date_time"":""2022-06-16T09:18:00.967Z"",""updated_by_name"":""Robin Westin""},{""answer_type"":""yes_no_na"",""answer_value"":""0"",""comments"":null,""images"":[],""template_question"":""Machines and equipment locked/safety ok?"",""updated_by"":1067,""date_time"":""2022-06-16T09:18:02.981Z"",""updated_by_name"":""Robin Westin""},{""answer_type"":""yes_no_na"",""answer_value"":""2"",""comments"":null,""images"":[],""template_question"":""Any other comments?"",""updated_by"":1067,""date_time"":""2022-06-16T09:18:07.701Z"",""updated_by_name"":""Robin Westin""}]",99,113,19619,1067,1067,2022-06-16 09:18:08 UTC,2022-06-16 09:18:25 UTC,160126,[336]
976,"[{""answer_value"":""0"",""images"":[],""answer_type"":""yes_no_na""},{""answer_value"":""0"",""images"":[],""answer_type"":""yes_no_na""},{""answer_value"":""0"",""images"":[],""answer_type"":""yes_no_na""},{""answer_value"":""0"",""images"":[],""answer_type"":""yes_no_na""},{""answer_value"":""0"",""images"":[],""answer_type"":""yes_no_na""},{""answer_value"":""0"",""images"":[],""answer_type"":""yes_no_na""},{""answer_value"":""0"",""images"":[],""answer_type"":""yes_no_na""},{""answer_value"":""0"",""images"":[],""answer_type"":""yes_no_na""},{""answer_value"":""0"",""images"":[],""answer_type"":""yes_no_na""},{""answer_value"":""0"",""images"":[346],""comments"":""Räcke på A-sida sönderrostat, inte akut men bör åtgärdas inom kort. Servicebegäran gjord."",""answer_type"":""yes_no_na""}]",99,113,19601,1073,1073,2022-06-16 18:24:21 UTC,2022-06-16 18:24:21 UTC,,[346]
977,"[{""answer_value"":""1"",""comments"":""Det behövdes plockas upp lite mer i gubbrummet. Åtgärdades på en gång!"",""images"":[],""answer_type"":""yes_no_na""},{""answer_value"":""1"",""comments"":""OK"",""images"":[],""answer_type"":""yes_no_na""},{""answer_value"":""1"",""comments"":""OK"",""images"":[],""answer_type"":""yes_no_na""},{""comments"":""OK"",""images"":[],""answer_type"":""yes_no_na"",""answer_value"":""""},{""answer_value"":""1"",""comments"":""OK"",""images"":[],""answer_type"":""yes_no_na""},{""answer_value"":""1"",""comments"":""OK"",""images"":[],""answer_type"":""yes_no_na""},{""answer_value"":""1"",""comments"":""OK"",""images"":[],""answer_type"":""yes_no_na""},{""answer_value"":""1"",""comments"":""OK"",""images"":[],""answer_type"":""yes_no_na""},{""answer_value"":""1"",""comments"":""OK"",""images"":[],""answer_type"":""yes_no_na""},{""answer_value"":""1"",""comments"":""Räcke på A-sida sönderrostat, inte akut men bör åtgärdas inom kort. Servicebegäran\ngjord."",""images"":[],""answer_type"":""yes_no_na""}]",99,113,19601,1073,1073,2022-06-16 18:32:56 UTC,2022-06-16 18:32:56 UTC,163774
1001,"[{""answer_type"":""yes_no_na"",""answer_value"":""0"",""comments"":null,""images"":[],""template_question"":""Was the workspace clean/tidy?"",""updated_by"":1067,""date_time"":""2022-06-22T11:54:57.933Z"",""updated_by_name"":""Robin Westin""},{""answer_type"":""yes_no_na"",""answer_value"":""0"",""comments"":null,""images"":[],""template_question"":""Fire safety ok?"",""updated_by"":1067,""date_time"":""2022-06-22T11:54:59.593Z"",""updated_by_name"":""Robin Westin""},{""answer_type"":""yes_no_na"",""answer_value"":""0"",""comments"":""Dåliga körgaller över spolränna"",""images"":[401],""template_question"":""Emergency exits marked and free?"",""updated_by"":1067,""date_time"":""2022-06-22T11:57:07.758Z"",""updated_by_name"":""Robin Westin""},{""answer_type"":""yes_no_na"",""answer_value"":""0"",""comments"":null,""images"":[],""template_question"":""Safety equipment and clothing ok?"",""updated_by"":1067,""date_time"":""2022-06-22T11:55:02.119Z"",""updated_by_name"":""Robin Westin""},{""answer_type"":""yes_no_na"",""answer_value"":""0"",""comments"":null,""images"":[],""template_question"":""Working enviornment ok?"",""updated_by"":1067,""date_time"":""2022-06-22T11:55:03.945Z"",""updated_by_name"":""Robin Westin""},{""answer_type"":""yes_no_na"",""answer_value"":""0"",""comments"":null,""images"":[],""template_question"":""Checmicals \u0026 Gas handled ok?"",""updated_by"":1067,""date_time"":""2022-06-22T11:55:04.887Z"",""updated_by_name"":""Robin Westin""},{""answer_type"":""yes_no_na"",""answer_value"":""0"",""comments"":null,""images"":[],""template_question"":""Lifting equipment approved and operated by qualified personnel?"",""updated_by"":1067,""date_time"":""2022-06-22T11:55:07.184Z"",""updated_by_name"":""Robin Westin""},{""answer_type"":""yes_no_na"",""answer_value"":""2"",""comments"":null,""images"":[],""template_question"":""Risk assessment / Safety Job Analysis ok? (SJA)"",""updated_by"":1067,""date_time"":""2022-06-22T11:55:13.057Z"",""updated_by_name"":""Robin Westin""},{""answer_type"":""yes_no_na"",""answer_value"":""0"",""comments"":null,""images"":[],""template_question"":""Machines and equipment locked/safety ok?"",""updated_by"":1067,""date_time"":""2022-06-22T11:55:15.253Z"",""updated_by_name"":""Robin Westin""},{""answer_type"":""yes_no_na"",""answer_value"":""0"",""comments"":""Snubbelrisk utgången från Havator tältet"",""images"":[399,400],""template_question"":""Any other comments?"",""updated_by"":1067,""date_time"":""2022-06-22T11:57:24.350Z"",""updated_by_name"":""Robin Westin""}]",99,113,19612,1067,1067,2022-06-22 11:58:01 UTC,2022-06-22 11:58:14 UTC,160181,"[399, 400, 401]"
1030,"[{""answer_type"":""yes_no_na"",""answer_value"":""2"",""comments"":""Behov av viss rensning vid rammerplattform HH1060"",""images"":[],""template_question"":""Was the workspace clean/tidy?"",""updated_by"":1072,""date_time"":""2022-06-30T00:59:36.259Z"",""updated_by_name"":""Albin Lövgren""},{""answer_type"":""yes_no_na"",""answer_value"":""0"",""comments"":null,""images"":[],""template_question"":""Fire safety ok?"",""updated_by"":1072,""date_time"":""2022-06-30T00:55:10.294Z"",""updated_by_name"":""Albin Lövgren""},{""answer_type"":""yes_no_na"",""answer_value"":""0"",""comments"":null,""images"":[],""template_question"":""Emergency exits marked and free?"",""updated_by"":1072,""date_time"":""2022-06-30T00:55:11.911Z"",""updated_by_name"":""Albin Lövgren""},{""answer_type"":""yes_no_na"",""answer_value"":""0"",""comments"":null,""images"":[],""template_question"":""Safety equipment and clothing ok?"",""updated_by"":1072,""date_time"":""2022-06-30T00:55:13.518Z"",""updated_by_name"":""Albin Lövgren""},{""answer_type"":""yes_no_na"",""answer_value"":""0"",""comments"":null,""images"":[],""template_question"":""Working enviornment ok?"",""updated_by"":1072,""date_time"":""2022-06-30T00:55:14.865Z"",""updated_by_name"":""Albin Lövgren""},{""answer_type"":""yes_no_na"",""answer_value"":""0"",""comments"":null,""images"":[],""template_question"":""Checmicals \u0026 Gas handled ok?"",""updated_by"":1072,""date_time"":""2022-06-30T00:55:16.235Z"",""updated_by_name"":""Albin Lövgren""},{""answer_type"":""yes_no_na"",""answer_value"":""0"",""comments"":null,""images"":[],""template_question"":""Lifting equipment approved and operated by qualified personnel?"",""updated_by"":1072,""date_time"":""2022-06-30T00:55:17.403Z"",""updated_by_name"":""Albin Lövgren""},{""answer_type"":""yes_no_na"",""answer_value"":""0"",""comments"":null,""images"":[],""template_question"":""Risk assessment / Safety Job Analysis ok? (SJA)"",""updated_by"":1072,""date_time"":""2022-06-30T00:55:19.531Z"",""updated_by_name"":""Albin Lövgren""},{""answer_type"":""yes_no_na"",""answer_value"":""0"",""comments"":null,""images"":[],""template_question"":""Machines and equipment locked/safety ok?"",""updated_by"":1072,""date_time"":""2022-06-30T00:55:21.835Z"",""updated_by_name"":""Albin Lövgren""},{""answer_type"":""yes_no_na"",""answer_value"":""0"",""comments"":""Pressening på markplan som bör tas bort, plast rör i metallcontainer vid BT1080"",""images"":[454,455],""template_question"":""Any other comments?"",""updated_by"":1072,""date_time"":""2022-06-30T00:57:44.445Z"",""updated_by_name"":""Albin Lövgren""}]",99,113,19601,1072,1072,2022-06-30 00:59:57 UTC,2022-06-30 01:00:10 UTC,163318,"[454, 455]"
1124,"[{""answer_value"":""1"",""updated_by"":1015,""date_time"":""2022-07-21T07:02:57.840Z"",""comments"":""Nej, mycket damm nere på våning 1 KID2"",""images"":[646],""answer_type"":""yes_no_na"",""template_question"":""Was the workspace clean/tidy?""},{""answer_value"":""0"",""updated_by"":1015,""date_time"":""2022-07-21T07:02:11.806Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Fire safety ok?""},{""answer_value"":""0"",""updated_by"":1015,""date_time"":""2022-07-21T07:02:13.125Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Emergency exits marked and free?""},{""answer_value"":""0"",""updated_by"":1015,""date_time"":""2022-07-21T07:02:14.602Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Safety equipment and clothing ok?""},{""answer_value"":""1"",""updated_by"":1015,""date_time"":""2022-07-21T07:02:22.061Z"",""comments"":""Nej, mycket damm nere på våning 1 KID2"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Working enviornment ok?""},{""answer_value"":""0"",""updated_by"":1015,""date_time"":""2022-07-21T07:02:24.337Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Checmicals \u0026 Gas handled ok?""},{""answer_value"":""0"",""updated_by"":1015,""date_time"":""2022-07-21T07:02:25.265Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Lifting equipment approved and operated by qualified personnel?""},{""answer_value"":""2"",""updated_by"":1015,""date_time"":""2022-07-21T07:02:28.093Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Risk assessment / Safety Job Analysis ok? (SJA)""},{""answer_value"":""2"",""updated_by"":1015,""date_time"":""2022-07-21T07:02:30.936Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Machines and equipment locked/safety ok?""},{""answer_value"":""0"",""updated_by"":1015,""date_time"":""2022-07-21T07:02:50.195Z"",""comments"":""Spolslang ej upphängd våning 1. "",""images"":[645],""answer_type"":""yes_no_na"",""template_question"":""Any other comments?""}]",99,113,19597,1015,1015,2022-07-21 07:03:01 UTC,2022-07-21 07:03:01 UTC,163313,"[645, 646]"
1158,"[{""answer_value"":""0"",""updated_by"":1077,""date_time"":""2022-07-30T19:07:18.634Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Was the workspace clean/tidy?""},{""answer_value"":""0"",""updated_by"":1077,""date_time"":""2022-07-30T19:07:20.477Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Fire safety ok?""},{""answer_value"":""0"",""updated_by"":1077,""date_time"":""2022-07-30T19:07:22.783Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Emergency exits marked and free?""},{""answer_value"":""0"",""updated_by"":1077,""date_time"":""2022-07-30T19:07:25.692Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Safety equipment and clothing ok?""},{""comments"":""1, Trappsteg mellan våning 1 och 2 östra sidan av KR1020 skevt, medför halk och fallrisk. Utbytt direkt efter rionderingen.\n2, Durkplåt våning 3 vid trappa från MA1010 gången b-sida böjd ner i trapprikningen. Medför halk och fallrisk. Service begäran utfärdad.\n3, Durkplåt vid inre parkeringsplattan för HH1060 våning 3 djup ner buckling. Medför halk, snubbel samt fallrisk. Bör åtgärdas.\n4. Ställnings material lämnad på yttre service parkeringsplattan för hammaren HH1060, Bör flyttas till annan förvaringsplats."",""updated_by"":1077,""date_time"":""2022-07-30T19:31:55.386Z"",""answer_value"":""0"",""images"":[687,688,689,690],""answer_type"":""yes_no_na"",""template_question"":""Working enviornment ok?""},{""answer_value"":""0"",""updated_by"":1077,""date_time"":""2022-07-30T19:07:33.023Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Checmicals \u0026 Gas handled ok?""},{""answer_value"":""0"",""updated_by"":1077,""date_time"":""2022-07-30T19:07:35.805Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Lifting equipment approved and operated by qualified personnel?""},{""answer_value"":""2"",""updated_by"":1077,""date_time"":""2022-07-30T19:07:58.333Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Risk assessment / Safety Job Analysis ok? (SJA)""},{""answer_value"":""2"",""updated_by"":1077,""date_time"":""2022-07-30T19:07:50.735Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Machines and equipment locked/safety ok?""},{""answer_value"":""2"",""updated_by"":1077,""date_time"":""2022-07-30T19:07:45.193Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Any other comments?""}]",99,113,19601,1077,1077,2022-07-30 19:32:45 UTC,2022-07-30 19:32:45 UTC,164866,"[687, 688, 689, 690]"
1197,"[{""answer_value"":""2"",""updated_by"":1067,""date_time"":""2022-08-10T10:58:46.356Z"",""comments"":""Mycket spill i hela skywalk 1490"",""images"":[764],""answer_type"":""yes_no_na"",""template_question"":""Was the workspace clean/tidy?""},{""answer_value"":""2"",""updated_by"":1067,""date_time"":""2022-08-10T10:59:22.036Z"",""images"":[763],""comments"":""Stor halk risk då gallerdurken i gångbrygga är full av slig och inte uppfyller sin funktion mot halka"",""answer_type"":""yes_no_na"",""template_question"":""Fire safety ok?""},{""answer_value"":""0"",""updated_by"":1067,""date_time"":""2022-08-10T10:56:42.083Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Emergency exits marked and free?""},{""answer_value"":""0"",""updated_by"":1067,""date_time"":""2022-08-10T10:56:44.525Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Safety equipment and clothing ok?""},{""answer_value"":""0"",""updated_by"":1067,""date_time"":""2022-08-10T10:56:47.981Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Working enviornment ok?""},{""answer_value"":""0"",""updated_by"":1067,""date_time"":""2022-08-10T10:56:49.788Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Checmicals \u0026 Gas handled ok?""},{""answer_value"":""0"",""updated_by"":1067,""date_time"":""2022-08-10T10:56:52.440Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Lifting equipment approved and operated by qualified personnel?""},{""answer_value"":""0"",""updated_by"":1067,""date_time"":""2022-08-10T10:56:54.575Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Risk assessment / Safety Job Analysis ok? (SJA)""},{""answer_value"":""0"",""updated_by"":1067,""date_time"":""2022-08-10T10:57:06.290Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Machines and equipment locked/safety ok?""},{""answer_value"":""0"",""updated_by"":1067,""date_time"":""2022-08-10T10:57:07.698Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Any other comments?""}]",99,113,20904,1067,1067,2022-08-10 10:59:29 UTC,2022-08-10 10:59:29 UTC,164969,"[763, 764]"
1228,"[{""answer_value"":""1"",""updated_by"":1075,""date_time"":""2022-08-17T01:24:04.052Z"",""images"":[815,816,817],""comments"":""Får tro NVT har en plan på städning golvplan."",""answer_type"":""yes_no_na"",""template_question"":""Was the workspace clean/tidy?""},{""answer_value"":""0"",""updated_by"":1075,""date_time"":""2022-08-17T01:24:10.777Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Fire safety ok?""},{""answer_value"":""0"",""updated_by"":1075,""date_time"":""2022-08-17T01:33:07.132Z"",""images"":[818,819,820,821,822],""answer_type"":""yes_no_na"",""template_question"":""Emergency exits marked and free?""},{""answer_value"":""0"",""updated_by"":1075,""date_time"":""2022-08-17T01:33:12.803Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Safety equipment and clothing ok?""},{""answer_value"":""0"",""updated_by"":1075,""date_time"":""2022-08-17T01:33:59.330Z"",""images"":[823],""answer_type"":""yes_no_na"",""template_question"":""Working enviornment ok?""},{""answer_value"":""2"",""updated_by"":1075,""date_time"":""2022-08-17T01:34:03.199Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Checmicals \u0026 Gas handled ok?""},{""answer_value"":""2"",""updated_by"":1075,""date_time"":""2022-08-17T01:34:06.182Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Lifting equipment approved and operated by qualified personnel?""},{""answer_value"":""2"",""updated_by"":1075,""date_time"":""2022-08-17T01:34:08.167Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Risk assessment / Safety Job Analysis ok? (SJA)""},{""answer_value"":""2"",""updated_by"":1075,""date_time"":""2022-08-17T01:34:10.391Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Machines and equipment locked/safety ok?""},{""answer_value"":""1"",""updated_by"":1075,""date_time"":""2022-08-17T01:34:14.889Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Any other comments?""}]",99,113,20905,1075,1075,2022-08-17 01:33:45 UTC,2022-08-17 01:33:45 UTC,165931,"[815, 816, 817, 818, 819, 820, 821, 822, 823]"
1302,"[{""answer_value"":""1"",""updated_by"":1062,""date_time"":""2022-08-31T08:48:09.390Z"",""comments"":""Väldigt grisigt på golvet"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Was the workspace clean/tidy?""},{""comments"":""Saknas reflexer på trappen upp till MO2, samt vid plattform ner till primestupet och vid trappen till höger sida 1380"",""updated_by"":1062,""date_time"":""2022-08-31T08:49:12.009Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Fire safety ok?"",""answer_value"":""""},{""answer_value"":""0"",""updated_by"":1062,""date_time"":""2022-08-31T08:49:28.573Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Emergency exits marked and free?""},{""answer_value"":""0"",""updated_by"":1062,""date_time"":""2022-08-31T08:49:30.607Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Safety equipment and clothing ok?""},{""answer_value"":""0"",""updated_by"":1062,""date_time"":""2022-08-31T08:50:10.015Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Working enviornment ok?""},{""answer_value"":""2"",""updated_by"":1062,""date_time"":""2022-08-31T08:50:16.378Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Checmicals \u0026 Gas handled ok?""},{""answer_value"":""2"",""updated_by"":1062,""date_time"":""2022-08-31T08:50:19.923Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Lifting equipment approved and operated by qualified personnel?""},{""answer_value"":""2"",""updated_by"":1062,""date_time"":""2022-08-31T08:50:25.631Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Risk assessment / Safety Job Analysis ok? (SJA)""},{""answer_value"":""0"",""updated_by"":1062,""date_time"":""2022-08-31T08:50:28.363Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Machines and equipment locked/safety ok?""},{""answer_value"":""1"",""updated_by"":1062,""date_time"":""2022-08-31T08:50:35.671Z"",""images"":[],""answer_type"":""yes_no_na"",""template_question"":""Any other comments?""}]",99,113,20904,1062,1062,2022-08-31 08:51:47 UTC,2022-08-31 08:51:47 UTC,164969
